Word or phrase to eliminate,Suggested replacements,History / rationale
African-American (or ask if you’re unsure how someone identifies),Black,"Many people often default to ‘African American’ out of a desire for either political correctness or politeness. The two terms are often used interchangeably, but that isn't always accurate, and it's important to understand the nuance when discussing race both in America and on a global scale."
Articulate / well-spoken,"Clear, effective, comprehensible, persuasive","“When a non-Black person says to a Black person, ‘You are so articulate!’ what you are saying is that you are surprised they have a certain set of ‘acceptable’ linguistic skills, and here, ‘acceptable’ equates to ‘sounds white,’...This upholds the racist idea that the only way for Black people to be taken seriously is to sound white, when linguistically speaking, both ways of speaking are equally good.”"
Black sheep / Blackball,Individualist / Deny,"Originated in America during the start of slavery in the 1610s, using the color black to denote something bad is part of languages around the world."
Blacklist / whitelist,Blocklist / passlist or Allowlist / denylist,"Originated in America during the start of slavery in the 1610s, using the color black to denote something bad is part of languages around the world."
Cakewalk,"Easy, a cinch, trivial",A “cakewalk” was a dancing contest judged by plantation owners — with a cake as the prize.
Call a spade a spade,"Call it what it is, be frank, be blunt","Originally used by Harlem Renaissance writers, later in the early 20th century the term “spade” was co-opted by white people as a slur."
Cargo cult,"Going through the motions, “mechanical” practice","Used in western business/tech as a metaphor to express ignorantly taking actions without understanding, e.g., “cargo cult agile.” It’s based on a particularly racist interpretation of Melanesian religious practices which in turn had been documented by western anthropologists in problematically colonial ways."
Crack the whip,Take charge / Kick into gear,"An expression for using one’s authority to urge subordinates to work harder or behave better, “crack the whip” traces its origins to 17th-century horse-drawn wagon drivers, according to the “The American Heritage Dictionary of Idioms” by Christine Ammer. But today, the phrase has ugly associations with chattel slavery."
Drink the Kool-Aid,Gullible,"A reference to the 1978 Jonestown Massacre in which 918 people died, including 276 children. It makes light of a tragedy and obscures the fact that many who died were murdered, abused, or deceived, not willingly suicidal. The People’s Temple used racial integration and social justice messaging to appeal to and victimize members of marginalized groups, especially Black people."
Freeholder,Landowner,The term dates back to an era in which only white male landowners could own land.
Grandfathered in / grandfather clause,Legacied,"Its origins go back to post-Civil War attempts to undercut the voting power of newly free Black people by creating strict requirements for new voters, including literacy tests, that did not apply to the descendants of those who voted prior to (usually) 1867."
Grooming sessions,Backlog refinement or backlog review,"While Grooming Sessions is a common name for Agile frameworks, some people may have discomfort with the word ""Grooming"" since it can be a trigger for someone with a history of abuse. "
Guys,"Folks, y’all, team, all, everyone","Using “guys” to address a group is a gendered way of phrasing it, it does not properly take into account the presence of female and non binary individuals. Using the phrase can trigger feelings of dysphoria in certain individuals and ignore the presence of women."
Gyp / Jipped,"Cheat, swindle","This one is racist because it’s tied to the term “gypsy,” an offensive term used to refer to the Romani people, who’ve long faced discrimination because of their darker skin and were even enslaved in some parts of Europe."
Hacker,"Engineer, developer","In job descriptions, the term ”hacker” can be tough for many to identify with. Revisit job listings in order to paint a clearer picture of what it’s like working here."
Housekeeping,"Maintenance, cleanup","In reference to office work, this language can feel gendered"
Jimmies,Sprinkles,"Etymologists believe the term comes from the Jim Crow laws used to segregate the South, with jimmies representing those Black people bound by these laws."
Long time no see,It’s been too long,It’s debated whether the phrase originally mimicked and denigrated Chinese or Native American speech patterns.
Low man on the totem pole,"Person of lower rank, junior-level.","Totem poles are monuments created by tribes of the Pacific Northwest to represent and commemorate ancestry, histories, people, or events. The term “low man on the totem pole,” when used as an idiom to describe a person of low rank, inaccurately trivializes the tradition and meaning of the totem poles, which do not have a hierarchy of carvings based on physical position. Instead:"
Lynch mob,"Mob, angry group","The racist roots of the phrase are hidden in plain sight. Though it's evolved into an umbrella term for an ""unjust attack,"" lynch mobs originated as hordes of people, most always White, who'd torture and kill Black people — often by hanging them — as a form of vigilante justice."
